epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1630.94,0.49176,0.39423,0.88112,0.88197,0.89756,0.92763,0.77893,0.61958,0.40402,0.88252,8.282e-05,8.282e-05,8.282e-05
42,1669.45,0.50179,0.39705,0.88905,0.90919,0.91365,0.93014,0.78482,0.61418,0.38305,0.88641,8.07905e-05,8.07905e-05,8.07905e-05
43,1707.95,0.49107,0.38023,0.88501,0.89302,0.9159,0.9311,0.78662,0.62264,0.38565,0.88729,7.8761e-05,7.8761e-05,7.8761e-05
44,1746.51,0.48285,0.38632,0.89044,0.89425,0.91092,0.9399,0.79198,0.6166,0.39059,0.88002,7.67315e-05,7.67315e-05,7.67315e-05
45,1784.92,0.49896,0.38964,0.89031,0.90302,0.90762,0.93615,0.789,0.6152,0.38806,0.87362,7.4702e-05,7.4702e-05,7.4702e-05
46,1823.32,0.50843,0.39778,0.89134,0.9109,0.90225,0.9495,0.80518,0.61858,0.37498,0.87654,7.26725e-05,7.26725e-05,7.26725e-05
47,1861.83,0.48128,0.36549,0.87921,0.89284,0.92462,0.9273,0.78256,0.61977,0.39024,0.87866,7.0643e-05,7.0643e-05,7.0643e-05
48,1900.38,0.48139,0.36276,0.87593,0.90133,0.90181,0.93608,0.79448,0.61778,0.38345,0.86973,6.86135e-05,6.86135e-05,6.86135e-05
49,1938.79,0.47523,0.36641,0.88119,0.90588,0.91452,0.94053,0.79322,0.61269,0.3772,0.87551,6.6584e-05,6.6584e-05,6.6584e-05
50,1977.29,0.47271,0.36561,0.87848,0.90854,0.89428,0.93995,0.79474,0.61367,0.38222,0.882,6.45545e-05,6.45545e-05,6.45545e-05
51,2015.77,0.46522,0.35952,0.87663,0.91255,0.90042,0.93358,0.79866,0.61092,0.37458,0.87265,6.2525e-05,6.2525e-05,6.2525e-05
52,2055.18,0.46552,0.35526,0.87442,0.91023,0.90572,0.93812,0.79345,0.61065,0.38064,0.8699,6.04955e-05,6.04955e-05,6.04955e-05
53,2093.79,0.46515,0.34743,0.87647,0.8792,0.92151,0.94322,0.80193,0.61096,0.36329,0.87276,5.8466e-05,5.8466e-05,5.8466e-05
54,2132.23,0.44499,0.33335,0.86924,0.89787,0.91968,0.93607,0.7925,0.60961,0.38059,0.87851,5.64365e-05,5.64365e-05,5.64365e-05
55,2170.66,0.4607,0.34771,0.87448,0.92363,0.90507,0.93746,0.79288,0.61448,0.37685,0.88057,5.4407e-05,5.4407e-05,5.4407e-05
56,2209.04,0.45806,0.34303,0.87561,0.88934,0.91165,0.93862,0.79819,0.61357,0.37886,0.88107,5.23775e-05,5.23775e-05,5.23775e-05
57,2247.49,0.45374,0.33889,0.87438,0.92299,0.90151,0.93686,0.79505,0.61677,0.37219,0.87861,5.0348e-05,5.0348e-05,5.0348e-05
58,2285.92,0.45801,0.35289,0.87853,0.89104,0.92209,0.93554,0.7922,0.61692,0.37466,0.87747,4.83185e-05,4.83185e-05,4.83185e-05
59,2324.36,0.44823,0.33921,0.86836,0.89668,0.92176,0.93508,0.79312,0.61429,0.36866,0.87239,4.6289e-05,4.6289e-05,4.6289e-05
60,2362.84,0.44693,0.33853,0.86936,0.91628,0.91,0.94483,0.80203,0.60774,0.36387,0.87254,4.42595e-05,4.42595e-05,4.42595e-05
61,2409.76,0.43971,0.27132,0.85679,0.92225,0.90546,0.93884,0.79866,0.61624,0.37482,0.87562,4.223e-05,4.223e-05,4.223e-05
62,2448.29,0.43997,0.25918,0.84619,0.89995,0.92832,0.94176,0.79983,0.61132,0.36857,0.8697,4.02005e-05,4.02005e-05,4.02005e-05
63,2486.65,0.43232,0.2591,0.85532,0.914,0.90683,0.94292,0.80056,0.6164,0.36987,0.87877,3.8171e-05,3.8171e-05,3.8171e-05
64,2525.03,0.42475,0.25404,0.83684,0.89797,0.92397,0.9416,0.79693,0.61987,0.37463,0.87657,3.61415e-05,3.61415e-05,3.61415e-05
65,2563.61,0.42183,0.24648,0.84173,0.91831,0.90913,0.94266,0.80129,0.61456,0.3691,0.87327,3.4112e-05,3.4112e-05,3.4112e-05
66,2602.13,0.42444,0.2495,0.84151,0.90221,0.92674,0.93933,0.80055,0.61518,0.37221,0.87736,3.20825e-05,3.20825e-05,3.20825e-05
